GENE	HGNC_ID	ENTREZ_ID
UTP25	HGNC:28440	27042
DIMT1	HGNC:30217	27292
DIS3	HGNC:20604	22894
DKC1	HGNC:2890	1736
DLST	HGNC:2911	1743
DMAP1	HGNC:18291	55929
DNAJA3	HGNC:11808	9093
DNAJC9	HGNC:19123	23234
DNM2	HGNC:2974	1785
DNMT1	HGNC:2976	1786
DOLK	HGNC:23406	22845
DONSON	HGNC:2993	29980
DPAGT1	HGNC:2995	1798
DTL	HGNC:30288	51514
DTYMK	HGNC:3061	1841
DYNC1I2	HGNC:2964	1781
ECD	HGNC:17029	11319
EEF2	HGNC:3214	1938
EFTUD2	HGNC:30858	9343
EIF2B1	HGNC:3257	1967
EIF2B3	HGNC:3259	8891
EIF2B5	HGNC:3261	8893
EIF2S1	HGNC:3265	1965
EIF2S2	HGNC:3266	8894
EIF2S3	HGNC:3267	1968
EIF3A	HGNC:3271	8661
EIF3B	HGNC:3280	8662
EIF3C	HGNC:3279	8663
EIF3D	HGNC:3278	8664
EIF3G	HGNC:3274	8666
EIF3I	HGNC:3272	8668
EIF4A3	HGNC:18683	9775
EIF5A	HGNC:3300	1984
EIF5B	HGNC:30793	9669
EIF6	HGNC:6159	3692
ELAC2	HGNC:14198	60528
ELL	HGNC:23114	8178
EPRS	HGNC:3418	2058
ERCC2	HGNC:3434	2068
ERCC3	HGNC:3435	2071
ERH	HGNC:3447	2079
EXOSC2	HGNC:17097	23404
EXOSC3	HGNC:17944	51010
EXOSC4	HGNC:18189	54512
EXOSC6	HGNC:19055	118460
EXOSC7	HGNC:28112	23016
EXOSC8	HGNC:17035	11340
CIAO2B	HGNC:24261	51647
FARS2	HGNC:21062	10667
FARSA	HGNC:3592	2193
FARSB	HGNC:17800	10056
FAU	HGNC:3597	2197
FNTA	HGNC:3782	2339
FNTB	HGNC:3785	2342
FTSJ3	HGNC:17136	117246
GABPA	HGNC:4071	2551
GAPDH	HGNC:4141	2597
GART	HGNC:4163	2618
GEMIN5	HGNC:20043	25929
GEMIN8	HGNC:26044	54960
GFM1	HGNC:13780	85476
GGPS1	HGNC:4249	9453
GINS2	HGNC:24575	51659
GINS3	HGNC:25851	64785
GINS4	HGNC:28226	84296
GMPPB	HGNC:22932	29925
GMPS	HGNC:4378	8833
RACK1	HGNC:4399	10399
GNL3	HGNC:29931	26354
GPN3	HGNC:30186	51184
GPS1	HGNC:4549	2873
GRPEL1	HGNC:19696	80273
GRWD1	HGNC:21270	83743
GSPT1	HGNC:4621	2935
GTF2B	HGNC:4648	2959
GTF2H1	HGNC:4655	2965
GTF2H2C	HGNC:31394	728340
GTF2H4	HGNC:4658	2968
GTF3A	HGNC:4662	2971
GTF3C1	HGNC:4664	2975
GTF3C2	HGNC:4665	2976
GTF3C5	HGNC:4668	9328
GTPBP4	HGNC:21535	23560
GUK1	HGNC:4693	2987
HARS	HGNC:4816	3035
HAUS1	HGNC:25174	115106
HAUS5	HGNC:29130	23354
HCFC1	HGNC:4839	3054
HDAC3	HGNC:4854	8841
HEATR1	HGNC:25517	55127
HINFP	HGNC:17850	25988
HIST1H2AJ	HGNC:4727	8331
HIST2H2AA3	HGNC:4736	8337
HJURP	HGNC:25444	55355
HNRNPC	HGNC:5035	3183
HNRNPK	HGNC:5044	3190
HNRNPL	HGNC:5045	3191
HNRNPU	HGNC:5048	3192
HSD17B10	HGNC:4800	3028
HSPA9	HGNC:5244	3313
HSPD1	HGNC:5261	3329
HUWE1	HGNC:30892	10075
HYPK	HGNC:18418	25764
IARS	HGNC:5330	3376
IGBP1	HGNC:5461	3476
ILF3	HGNC:6038	3609
IMP3	HGNC:14497	55272
IMP4	HGNC:30856	92856
INTS1	HGNC:24555	26173
INTS3	HGNC:26153	65123
INTS8	HGNC:26048	55656
INTS9	HGNC:25592	55756
IPO13	HGNC:16853	9670
ISCU	HGNC:29882	23479
ISG20L2	HGNC:25745	81875
KANSL3	HGNC:25473	55683
KARS	HGNC:6215	3735
KAT8	HGNC:17933	84148
KIF11	HGNC:6388	3832
KIF23	HGNC:6392	9493
KPNB1	HGNC:6400	3837
KRI1	HGNC:25769	65095
KRR1	HGNC:5176	11103
LARS	HGNC:6512	51520
LAS1L	HGNC:25726	81887
LONP1	HGNC:9479	9361
LRR1	HGNC:19742	122769
LSG1	HGNC:25652	55341
LSM11	HGNC:30860	134353
LSM12	HGNC:26407	124801
LSM2	HGNC:13940	57819
LSM7	HGNC:20470	51690
LUC7L3	HGNC:24309	51747
MAD2L1	HGNC:6763	4085
MAGOH	HGNC:6815	4116
MAK16	HGNC:13703	84549
MARS	HGNC:6898	4141
MARS2	HGNC:25133	92935
MASTL	HGNC:19042	84930
MCM3	HGNC:6945	4172
MCM3AP	HGNC:6946	8888
MCM4	HGNC:6947	4173
MCM5	HGNC:6948	4174
MCM7	HGNC:6950	4176
MDN1	HGNC:18302	23195
MED11	HGNC:32687	400569
MED12	HGNC:11957	9968
MED18	HGNC:25944	54797
MED27	HGNC:2377	9442
MED30	HGNC:23032	90390
MEPCE	HGNC:20247	56257
METTL16	HGNC:28484	79066
MMS22L	HGNC:21475	253714
MPHOSPH10	HGNC:7213	10199
MRPL57	HGNC:14514	78988
MRPL18	HGNC:14477	29074
MRPL28	HGNC:14484	10573
MRPL38	HGNC:14033	64978
MRPL4	HGNC:14276	51073
MRPL43	HGNC:14517	84545
MRPL45	HGNC:16651	84311
MRPL46	HGNC:1192	26589
MRPL53	HGNC:16684	116540
MRPS14	HGNC:14049	63931
MRPS24	HGNC:14510	64951
MRPS34	HGNC:16618	65993
MSTO1	HGNC:29678	55154
MTG2	HGNC:16239	26164
MVK	HGNC:7530	4598
MYBBP1A	HGNC:7546	10514
MYC	HGNC:7553	4609
NAA10	HGNC:18704	8260
LSM8	HGNC:20471	51691
NAA50	HGNC:29533	80218
NAMPT	HGNC:30092	10135
NAPA	HGNC:7641	8775
CIAO3	HGNC:14179	64428
NARS	HGNC:7643	4677
NAT10	HGNC:29830	55226
NCBP1	HGNC:7658	4686
NCBP2	HGNC:7659	22916
NDC80	HGNC:16909	10403
NDUFA13	HGNC:17194	51079
NEDD8	HGNC:7732	4738
NELFB	HGNC:24324	25920
NHP2	HGNC:14377	55651
SNU13	HGNC:7819	4809
NIP7	HGNC:24328	51388
NKAP	HGNC:29873	79576
NLE1	HGNC:19889	54475
NMD3	HGNC:24250	51068
NMT1	HGNC:7857	4836
NOC4L	HGNC:28461	79050
NOL10	HGNC:25862	79954
NOL11	HGNC:24557	25926
NOL6	HGNC:19910	65083
NOL9	HGNC:26265	79707
NOP16	HGNC:26934	51491
NOP2	HGNC:7867	4839
NOP56	HGNC:15911	10528
NOP9	HGNC:19826	161424
NPLOC4	HGNC:18261	55666
NSA2	HGNC:30728	10412
NSF	HGNC:8016	4905
NUDC	HGNC:8045	10726
NUDCD3	HGNC:22208	23386
NUDT21	HGNC:13870	11051
NUDT4	HGNC:8051	11163
NUF2	HGNC:14621	83540
NUP133	HGNC:18016	55746
NUP155	HGNC:8063	9631
NUP160	HGNC:18017	23279
NUP214	HGNC:8064	8021
NUP85	HGNC:8734	79902
NUP88	HGNC:8067	4927
NUP93	HGNC:28958	9688
NUS1	HGNC:21042	116150
NUTF2	HGNC:13722	10204
NVL	HGNC:8070	4931
NXF1	HGNC:8071	10482
OGDH	HGNC:8124	4967
OGT	HGNC:8127	8473
LTO1	HGNC:17589	220064
ORC6	HGNC:17151	23594
OSGEP	HGNC:18028	55644
PABPC1	HGNC:8554	26986
PAFAH1B1	HGNC:8574	5048
PAICS	HGNC:8587	10606
PAK1IP1	HGNC:20882	55003
PCID2	HGNC:25653	55795
PCNA	HGNC:8729	5111
PFDN2	HGNC:8867	5202
PFN1	HGNC:8881	5216
PGAM1	HGNC:8888	5223
PGGT1B	HGNC:8895	5229
PGK1	HGNC:8896	5230
PHB	HGNC:8912	5245
PHB2	HGNC:30306	11331
PHF5A	HGNC:18000	84844
PKMYT1	HGNC:29650	9088
PLK1	HGNC:9077	5347
PLRG1	HGNC:9089	5356
PMPCA	HGNC:18667	23203
PMPCB	HGNC:9119	9512
PNKP	HGNC:9154	11284
POLA2	HGNC:30073	23649
POLR1A	HGNC:17264	25885
POLR1B	HGNC:20454	84172
POLR1C	HGNC:20194	9533
POLR2A	HGNC:9187	5430
POLR2B	HGNC:9188	5431
POLR2C	HGNC:9189	5432
POLR2D	HGNC:9191	5433
POLR2E	HGNC:9192	5434
POLR2G	HGNC:9194	5436
POLR2H	HGNC:9195	5437
POLR2I	HGNC:9196	5438
POLR2L	HGNC:9199	5441
POLR3A	HGNC:30074	11128
POLR3C	HGNC:30076	10623
POLR3H	HGNC:30349	171568
POLR3K	HGNC:14121	51728
POLRMT	HGNC:9200	5442
POP1	HGNC:30129	10940
POP5	HGNC:17689	51367
PPA1	HGNC:9226	5464
PPAN	HGNC:9227	56342
PPAT	HGNC:9238	5471
PPIL2	HGNC:9261	23759
PPP2CA	HGNC:9299	5515
PTPA	HGNC:9308	5524
PPP4C	HGNC:9319	5531
PPWD1	HGNC:28954	23398
PREB	HGNC:9356	10113
PRELID1	HGNC:30255	27166
PRIM1	HGNC:9369	5557
PRMT1	HGNC:5187	3276
PRMT5	HGNC:10894	10419
PRPF19	HGNC:17896	27339
PRPF31	HGNC:15446	26121
PRPF38A	HGNC:25930	84950
PRPF38B	HGNC:25512	55119
PRPF4	HGNC:17349	9128
PRPF8	HGNC:17340	10594
PSMA1	HGNC:9530	5682
PSMA2	HGNC:9531	5683
PSMA3	HGNC:9532	5684
PSMA4	HGNC:9533	5685
PSMA5	HGNC:9534	5686
PSMA6	HGNC:9535	5687
PSMA7	HGNC:9536	5688
PSMB1	HGNC:9537	5689
PSMB2	HGNC:9539	5690
PSMB3	HGNC:9540	5691
PSMB4	HGNC:9541	5692
PSMB7	HGNC:9544	5695
PSMC2	HGNC:9548	5701
PSMC3	HGNC:9549	5702
PSMC5	HGNC:9552	5705
PSMC6	HGNC:9553	5706
PSMD1	HGNC:9554	5707
PSMD11	HGNC:9556	5717
PSMD12	HGNC:9557	5718
PSMD13	HGNC:9558	5719
PSMD14	HGNC:16889	10213
PSMD3	HGNC:9560	5709
PSMD4	HGNC:9561	5710
PSMG3	HGNC:22420	84262
PTPN23	HGNC:14406	25930
PUF60	HGNC:17042	22827
PWP2	HGNC:9711	5822
QARS	HGNC:9751	5859
RABGGTB	HGNC:9796	5876
RACGAP1	HGNC:9804	29127
RAD21	HGNC:9811	5885
RAD51C	HGNC:9820	5889
RAD51D	HGNC:9823	5892
RAE1	HGNC:9828	8480
RAN	HGNC:9846	5901
RANGAP1	HGNC:9854	5905
RARS2	HGNC:21406	57038
RBBP6	HGNC:9889	5930
RBM14	HGNC:14219	10432
RBM17	HGNC:16944	84991
RBM8A	HGNC:9905	9939
RBMX	HGNC:9910	27316
RBX1	HGNC:9928	9978
RCC1	HGNC:1913	1104
RCL1	HGNC:17687	10171
RFC2	HGNC:9970	5982
RFC4	HGNC:9972	5984
RFC5	HGNC:9973	5985
RFK	HGNC:30324	55312
RHEB	HGNC:10011	6009
RIOK2	HGNC:18999	55781
RNF20	HGNC:10062	56254
RNGTT	HGNC:10073	8732
ROMO1	HGNC:16185	140823
RPA1	HGNC:10289	6117
RPA2	HGNC:10290	6118
RPF2	HGNC:20870	84154
RPL10A	HGNC:10299	4736
RPL11	HGNC:10301	6135
RPL12	HGNC:10302	6136
RPL13	HGNC:10303	6137
RPL14	HGNC:10305	9045
RPL18	HGNC:10310	6141
RPL18A	HGNC:10311	6142
RPL19	HGNC:10312	6143
RPL23	HGNC:10316	9349
RPL24	HGNC:10325	6152
RPL27	HGNC:10328	6155
RPL27A	HGNC:10329	6157
RPL3	HGNC:10332	6122
RPL30	HGNC:10333	6156
RPL35	HGNC:10344	11224
RPL35A	HGNC:10345	6165
RPL36	HGNC:13631	25873
RPL37A	HGNC:10348	6168
RPL4	HGNC:10353	6124
RPL6	HGNC:10362	6128
RPL8	HGNC:10368	6132
RPLP0	HGNC:10371	6175
RPLP1	HGNC:10372	6176
RPLP2	HGNC:10377	6181
RPP21	HGNC:21300	79897
RPP38	HGNC:30329	10557
RPS11	HGNC:10384	6205
RPS12	HGNC:10385	6206
RPS13	HGNC:10386	6207
RPS15A	HGNC:10389	6210
RPS16	HGNC:10396	6217
RPS18	HGNC:10401	6222
RPS19	HGNC:10402	6223
RPS2	HGNC:10404	6187
RPS20	HGNC:10405	6224
RPS21	HGNC:10409	6227
RPS23	HGNC:10410	6228
RPS3	HGNC:10420	6188
RPS4X	HGNC:10424	6191
RPS5	HGNC:10426	6193
RPS6	HGNC:10429	6194
RPS7	HGNC:10440	6201
RPS8	HGNC:10441	6202
RRM1	HGNC:10451	6240
RRP1	HGNC:18785	8568
RRP12	HGNC:29100	23223
RRS1	HGNC:17083	23212
RTCB	HGNC:26935	51493
RUVBL2	HGNC:10475	10856
SACM1L	HGNC:17059	22908
SAE1	HGNC:30660	10055
SAMM50	HGNC:24276	25813
SAP18	HGNC:10530	10284
SARS	HGNC:10537	6301
SARS2	HGNC:17697	54938
SART3	HGNC:16860	9733
SBNO1	HGNC:22973	55206
SDAD1	HGNC:25537	55153
SDHC	HGNC:10682	6391
SEC13	HGNC:10697	6396
SEH1L	HGNC:30379	81929
SF1	HGNC:12950	7536
SF3A2	HGNC:10766	8175
SF3A3	HGNC:10767	10946
SF3B1	HGNC:10768	23451
SF3B2	HGNC:10769	10992
SF3B3	HGNC:10770	23450
SF3B5	HGNC:21083	83443
SKP1	HGNC:10899	6500
SLC35B1	HGNC:20798	10237
PRELID3B	HGNC:15892	51012
SLU7	HGNC:16939	10569
SMC1A	HGNC:11111	8243
SMC2	HGNC:14011	10592
SMC4	HGNC:14013	10051
SMU1	HGNC:18247	55234
SNAPC1	HGNC:11134	6617
SNAPC2	HGNC:11135	6618
SNAPC4	HGNC:11137	6621
SNRNP200	HGNC:30859	23020
SNRNP25	HGNC:14161	79622
SNRNP27	HGNC:30240	11017
SNRNP35	HGNC:30852	11066
SNRNP70	HGNC:11150	6625
SNRPA1	HGNC:11152	6627
SNRPD1	HGNC:11158	6632
SNRPD2	HGNC:11159	6633
SNRPD3	HGNC:11160	6634
SNRPF	HGNC:11162	6636
SNW1	HGNC:16696	22938
SPATA5L1	HGNC:28762	79029
SPC24	HGNC:26913	147841
SPC25	HGNC:24031	57405
SRBD1	HGNC:25521	55133
SRP19	HGNC:11300	6728
SRRM1	HGNC:16638	10250
SRRT	HGNC:24101	51593
SRSF1	HGNC:10780	6426
SRSF2	HGNC:10783	6427
SRSF3	HGNC:10785	6428
SRSF7	HGNC:10789	6432
SS18L2	HGNC:15593	51188
SSU72	HGNC:25016	29101
SUPT5H	HGNC:11469	6829
SUPT6H	HGNC:11470	6830
SUPV3L1	HGNC:11471	6832
SYMPK	HGNC:22935	8189
SYS1	HGNC:16162	90196
TAF1B	HGNC:11533	9014
TAF6	HGNC:11540	6878
TANGO6	HGNC:25749	79613
TARS	HGNC:11572	6897
TBCD	HGNC:11581	6904
TBL3	HGNC:11587	10607
TCP1	HGNC:11655	6950
TELO2	HGNC:29099	9894
TFAM	HGNC:11741	7019
TFRC	HGNC:11763	7037
THOC2	HGNC:19073	57187
THOC3	HGNC:19072	84321
THOC5	HGNC:19074	8563
TICRR	HGNC:28704	90381
TIMM10	HGNC:11814	26519
TIMM13	HGNC:11816	26517
TIMM23	HGNC:17312	100287932
TIMM44	HGNC:17316	10469
TMEM258	HGNC:1164	746
TNPO3	HGNC:17103	23534
TOMM22	HGNC:18002	56993
TOMM40	HGNC:18001	10452
TONSL	HGNC:7801	4796
TOP1	HGNC:11986	7150
TOP2A	HGNC:11989	7153
TPT1	HGNC:12022	7178
TPX2	HGNC:1249	22974
TRAPPC1	HGNC:19894	58485
TRAPPC3	HGNC:19942	27095
TRIAP1	HGNC:26937	51499
TRMT112	HGNC:26940	51504
TRMT5	HGNC:23141	57570
TRNAU1AP	HGNC:30813	54952
TRRAP	HGNC:12347	8295
TSR1	HGNC:25542	55720
TTC1	HGNC:12391	7265
TTC27	HGNC:25986	55622
TTI1	HGNC:29029	9675
TTI2	HGNC:26262	80185
TUBB	HGNC:20778	203068
TUBG1	HGNC:12417	7283
TUBGCP2	HGNC:18599	10844
TUBGCP3	HGNC:18598	10426
TUBGCP6	HGNC:18127	85378
TUFM	HGNC:12420	7284
TUT1	HGNC:26184	64852
TXN	HGNC:12435	7295
TXNL4A	HGNC:30551	10907
U2AF1	HGNC:12453	7307
U2AF2	HGNC:23156	11338
UBA1	HGNC:12469	7317
UBA52	HGNC:12458	7311
UBE2L3	HGNC:12488	7332
UBE2M	HGNC:12491	9040
UBE2N	HGNC:12492	7334
UBL5	HGNC:13736	59286
UBTF	HGNC:12511	7343
UPF1	HGNC:9962	5976
UPF2	HGNC:17854	26019
UQCRC1	HGNC:12585	7384
UQCRFS1	HGNC:12587	7386
UROD	HGNC:12591	7389
USP39	HGNC:20071	10713
USP5	HGNC:12628	8078
USPL1	HGNC:20294	10208
UTP15	HGNC:25758	84135
UTP20	HGNC:17897	27340
UTP23	HGNC:28224	84294
UXT	HGNC:12641	8409
VARS	HGNC:12651	7407
VARS2	HGNC:21642	57176
VCP	HGNC:12666	7415
VPS25	HGNC:28122	84313
VPS28	HGNC:18178	51160
WARS	HGNC:12729	7453
BUD23	HGNC:16405	114049
WDR12	HGNC:14098	55759
WDR25	HGNC:21064	79446
WDR3	HGNC:12755	10885
WDR33	HGNC:25651	55339
WDR43	HGNC:28945	23160
WDR61	HGNC:30300	80349
WDR70	HGNC:25495	55100
WDR74	HGNC:25529	54663
WDR75	HGNC:25725	84128
WDR77	HGNC:29652	79084
WDR92	HGNC:25176	116143
WEE1	HGNC:12761	7465
XAB2	HGNC:14089	56949
XPO1	HGNC:12825	7514
XRCC6	HGNC:4055	2547
YARS	HGNC:12840	8565
YARS2	HGNC:24249	51067
YRDC	HGNC:28905	79693
ZBTB8OS	HGNC:24094	339487
ZMAT5	HGNC:28046	55954
ZNF131	HGNC:12915	7690
ZPR1	HGNC:13051	8882
ZNF574	HGNC:26166	64763
